"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
1461,20,"RH",80,11622,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Feedr","1Fam",5,6,1961,1961,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",468,"LwQ",144,270,882,"TA","Y",896,0,0,896,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1961,"Unf",1,730,"TA","Y",140,0,0,0,120,0,"MnPrv",0,6,2010,"WD","Normal"
1462,20,"RL",81,14267,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",6,6,1958,1958,"Hip","BrkFace",108,"TA","TA","CBlock","TA","TA","No","ALQ",923,"Unf",0,406,1329,"TA","Y",1329,0,0,1329,0,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1958,"Unf",1,312,"TA","Y",393,36,0,0,0,0,NA,12500,6,2010,"WD","Normal"
1463,60,"RL",74,13830,"Pave",NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",5,5,1997,1998,"Gable","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,137,928,"Gd","Y",928,701,0,1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1997,"Fin",2,482,"TA","Y",212,34,0,0,0,0,"MnPrv",0,3,2010,"WD","Normal"
1464,60,"RL",78,9978,"Pave",NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",6,6,1998,1998,"Gable","BrkFace",20,"TA","TA","PConc","TA","TA","No","GLQ",602,"Unf",0,324,926,"Ex","Y",926,678,0,1604,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,470,"TA","Y",360,36,0,0,0,0,NA,0,6,2010,"WD","Normal"
1465,120,"RL",43,5005,"Pave",NA,"IR1","HLS","Inside","Gtl","StoneBr","Norm","TwnhsE",8,5,1992,1992,"Gable","None",0,"Gd","TA","PConc","Gd","TA","No","ALQ",263,"Unf",0,1017,1280,"Ex","Y",1280,0,0,1280,0,0,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"RFn",2,506,"TA","Y",0,82,0,0,144,0,NA,0,1,2010,"WD","Normal"
1466,60,"RL",75,10000,"Pave",NA,"IR1","Lvl","Corner","Gtl","Gilbert","Norm","1Fam",6,5,1993,1994,"Gable","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,763,763,"Gd","Y",763,892,0,1655,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1993,"Fin",2,440,"TA","Y",157,84,0,0,0,0,NA,0,4,2010,"WD","Normal"
1467,20,"RL",NA,7980,"Pave",NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",6,7,1992,2007,"Gable","None",0,"TA","Gd","PConc","Gd","TA","No","ALQ",935,"Unf",0,233,1168,"Ex","Y",1187,0,0,1187,1,0,2,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1992,"Fin",2,420,"TA","Y",483,21,0,0,0,0,"GdPrv",500,3,2010,"WD","Normal"
1468,60,"RL",63,8402,"Pave",NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",6,5,1998,1998,"Gable","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,789,789,"Gd","Y",789,676,0,1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,393,"TA","Y",0,75,0,0,0,0,NA,0,5,2010,"WD","Normal"
1469,20,"RL",85,10176,"Pave",NA,"Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",7,5,1990,1990,"Gable","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",637,"Unf",0,663,1300,"Gd","Y",1341,0,0,1341,1,0,1,1,2,1,"Gd",5,"Typ",1,"Po","Attchd",1990,"Unf",2,506,"TA","Y",192,0,0,0,0,0,NA,0,2,2010,"WD","Normal"
1470,20,"RL",70,8400,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",4,5,1970,1970,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",804,"Rec",78,0,882,"TA","Y",882,0,0,882,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Attchd",1970,"Fin",2,525,"TA","Y",240,0,0,0,0,0,"MnPrv",0,4,2010,"WD","Normal"
